               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11245,            0.031869,            0.027552,           0.0099582,            0.095238,           0.0059394,           0.0014751,            0.098822,            0.025958,            0.022641,              0.0025,              0.0025,              0.0775
                   1,            0.088514,            0.029157,            0.015978,             0.61602,             0.10119,            0.070272,            0.019407,            0.085921,            0.022175,           0.0095845,           0.0050159,           0.0050159,            0.054016
                   2,            0.080338,            0.026036,           0.0088346,             0.58484,               0.125,             0.10079,            0.025581,            0.080377,             0.01771,            0.005366,           0.0074459,           0.0074459,            0.030446
                   3,            0.077066,            0.022046,           0.0059656,            0.092118,             0.12866,            0.070006,            0.017462,            0.085998,            0.016612,            0.011495,            0.009505,            0.009505,            0.009505
                   4,            0.069872,              0.0226,           0.0062842,             0.26535,             0.18223,             0.20016,            0.050213,            0.070846,            0.021811,           0.0061928,            0.009505,            0.009505,            0.009505
                   5,            0.067185,            0.021729,           0.0049722,             0.38278,             0.40073,             0.32138,             0.10154,            0.070548,            0.016071,            0.003038,             0.00934,             0.00934,             0.00934
                   6,              0.0637,            0.021598,           0.0041135,             0.31881,             0.34249,             0.21691,            0.056274,            0.073495,            0.018058,           0.0042783,            0.009175,            0.009175,            0.009175
                   7,            0.060761,            0.021611,           0.0041131,             0.51517,             0.53755,             0.48833,             0.15474,            0.058798,            0.015587,           0.0031715,             0.00901,             0.00901,             0.00901
                   8,            0.055725,            0.020538,           0.0028349,             0.49599,             0.54396,              0.4357,             0.14683,            0.058817,            0.015236,           0.0028143,            0.008845,            0.008845,            0.008845
                   9,            0.053125,            0.019962,           0.0032178,             0.54629,             0.58036,             0.48994,             0.15608,            0.058517,            0.014887,           0.0029773,             0.00868,             0.00868,             0.00868
                  10,            0.053135,            0.019706,           0.0022948,             0.45632,             0.53936,             0.43803,             0.17811,             0.05691,            0.015453,           0.0050025,            0.008515,            0.008515,            0.008515
                  11,            0.050221,            0.018716,            0.002627,             0.57004,             0.53722,             0.48864,             0.17997,            0.056905,            0.016651,           0.0040206,             0.00835,             0.00835,             0.00835
                  12,             0.05115,            0.018851,           0.0020631,             0.59248,             0.46932,             0.47404,             0.17624,            0.055137,            0.017211,           0.0046443,            0.008185,            0.008185,            0.008185
                  13,            0.049519,            0.019238,           0.0022153,              0.6238,             0.63416,             0.61213,             0.20753,             0.05428,            0.014516,           0.0024079,             0.00802,             0.00802,             0.00802
